category,link,name
journal,https://dblp.uni-trier.de/db/journals/tocs/index.html,TOCS
journal,https://dblp.uni-trier.de/db/journals/tos/index.html,TOS
journal,https://dblp.uni-trier.de/db/journals/tcad/index.html,TCAD
journal,https://dblp.uni-trier.de/db/journals/tc/index.html,TC
journal,https://dblp.uni-trier.de/db/journals/tpds/index.html,TPDS
journal,https://dblp.uni-trier.de/db/journals/taco/index.html,TACO
journal,https://dblp.uni-trier.de/db/journals/taas/index.html,TAAS
journal,https://dblp.uni-trier.de/db/journals/todaes/index.html,TODAES
journal,https://dblp.uni-trier.de/db/journals/tecs/index.html,TECS
journal,https://dblp.uni-trier.de/db/journals/trets/index.html,TRETS
journal,https://dblp.uni-trier.de/db/journals/tvlsi/index.html,TVLSI
journal,https://dblp.uni-trier.de/db/journals/jpdc/index.html,JPDC
journal,https://dblp.uni-trier.de/db/journals/jsa/index.html,JSA
journal,https://dblp.uni-trier.de/db/journals/pc/index.html,PC
journal,https://dblp.uni-trier.de/db/journals/pe/index.html,PE
conference,https://dblp.uni-trier.de/db/conf/ppopp/index.html,PPoPP
conference,https://dblp.uni-trier.de/db/conf/fast/index.html,FAST
conference,https://dblp.uni-trier.de/db/conf/dac/index.html,DAC
conference,https://dblp.uni-trier.de/db/conf/hpca/index.html,HPCA
conference,https://dblp.uni-trier.de/db/conf/micro/index.html,MICRO
conference,https://dblp.uni-trier.de/db/conf/sc/index.html,SC
conference,https://dblp.uni-trier.de/db/conf/asplos/index.html,ASPLOS
conference,https://dblp.uni-trier.de/db/conf/isca/index.html,ISCA
conference,https://dblp.uni-trier.de/db/conf/usenix/index.html,USENIX
conference,https://dblp.uni-trier.de/db/conf/eurosys/index.html,EUROSYS
conference,https://dblp.uni-trier.de/db/conf/cloud/index.html,SoCC
conference,https://dblp.uni-trier.de/db/conf/spaa/index.html,SPAA
conference,https://dblp.uni-trier.de/db/conf/podc/index.html,PODC
conference,https://dblp.uni-trier.de/db/conf/fpga/index.html,FPGA
conference,https://dblp.uni-trier.de/db/conf/cgo/index.html,CGO
conference,https://dblp.uni-trier.de/db/conf/date/index.html,DATE
conference,https://dblp.uni-trier.de/db/conf/hotchips/index.html,HOT CHIPS
conference,https://dblp.uni-trier.de/db/conf/cluster/index.html,CLUSTER
conference,https://dblp.uni-trier.de/db/conf/iccd/index.html,ICCD
conference,https://dblp.uni-trier.de/db/conf/iccad/index.html,ICCAD
conference,https://dblp.uni-trier.de/db/conf/icdcs/index.html,ICDCS
conference,https://dblp.uni-trier.de/db/conf/codesisss/index.html,CODES+ISSS
conference,https://dblp.uni-trier.de/db/conf/hipeac/index.html,HiPEAC
journal,https://dblp.uni-trier.de/db/journals/jsac/index.html,JSAC
journal,https://dblp.uni-trier.de/db/journals/tmc/index.html,TMC
journal,https://dblp.uni-trier.de/db/journals/ton/index.html,TON
journal,https://dblp.uni-trier.de/db/journals/toit/index.html,TOIT
journal,https://dblp.uni-trier.de/db/journals/tomccap/index.html,TOMM
journal,https://dblp.uni-trier.de/db/journals/tosn/index.html,TOSN
journal,https://dblp.uni-trier.de/db/journals/cn/index.html,CN
journal,https://dblp.uni-trier.de/db/journals/tcom/index.html,TCOM
journal,https://dblp.uni-trier.de/db/journals/twc/index.html,TWC
conference,https://dblp.uni-trier.de/db/conf/sigcomm/index.html,SIGCOMM
conference,https://dblp.uni-trier.de/db/conf/mobicom/index.html,MobiCom
conference,https://dblp.uni-trier.de/db/conf/infocom/index.html,INFOCOM
conference,https://dblp.uni-trier.de/db/conf/nsdi/index.html,NSDI
conference,https://dblp.uni-trier.de/db/conf/sensys/index.html,SenSys
conference,https://dblp.uni-trier.de/db/conf/conext/index.html,CoNEXT
conference,https://dblp.uni-trier.de/db/conf/secon/index.html,SECON
conference,https://dblp.uni-trier.de/db/conf/ipsn/index.html,IPSN
conference,https://dblp.uni-trier.de/db/conf/mobisys/index.html,MobiSys
conference,https://dblp.uni-trier.de/db/conf/icnp/index.html,ICNP
conference,https://dblp.uni-trier.de/db/conf/mobihoc/index.html,MobiHoc
conference,https://dblp.uni-trier.de/db/conf/nossdav/index.html,NOSSDAV
conference,https://dblp.uni-trier.de/db/conf/iwqos/index.html,IWQoS
conference,https://dblp.uni-trier.de/db/conf/imc/index.html,IMC
journal,https://dblp.uni-trier.de/db/journals/tdsc/index.html,TDSC
journal,https://dblp.uni-trier.de/db/journals/tifs/index.html,TIFS
journal,https://dblp.uni-trier.de/db/journals/joc/index.html,JOC
journal,https://dblp.uni-trier.de/db/journals/tissec/index.html,TOPS
journal,https://dblp.uni-trier.de/db/journals/compsec/index.html,COMPSEC
journal,https://dblp.uni-trier.de/db/journals/dcc/index.html,DCC
journal,https://dblp.uni-trier.de/db/journals/jcs/index.html,JCS
conference,https://dblp.uni-trier.de/db/conf/ccs/index.html,CCS
conference,https://dblp.uni-trier.de/db/conf/eurocrypt/index.html,EUROCRYPT
conference,https://dblp.uni-trier.de/db/conf/sp/index.html,S&P
conference,https://dblp.uni-trier.de/db/conf/crypto/index.html,CRYPTO
conference,https://dblp.uni-trier.de/db/conf/uss/index.html,USENIX Security
conference,https://dblp.uni-trier.de/db/conf/ndss/index.html,NDSS
conference,https://dblp.uni-trier.de/db/conf/acsac/index.html,ACSAC
conference,https://dblp.uni-trier.de/db/conf/asiacrypt/index.html,ASIACRYPT
conference,https://dblp.uni-trier.de/db/conf/esorics/index.html,ESORICS
conference,https://dblp.uni-trier.de/db/conf/fse/index.html,FSE
conference,https://dblp.uni-trier.de/db/conf/csfw/index.html,CSFW
conference,https://dblp.uni-trier.de/db/conf/srds/index.html,SRDS
conference,https://dblp.uni-trier.de/db/conf/ches/index.html,CHES
conference,https://dblp.uni-trier.de/db/conf/dsn/index.html,DSN
conference,https://dblp.uni-trier.de/db/conf/raid/index.html,RAID
conference,https://dblp.uni-trier.de/db/conf/pkc/index.html,PKC
conference,https://dblp.uni-trier.de/db/conf/tcc/index.html,TCC
journal,https://dblp.uni-trier.de/db/journals/toplas/index.html,TOPLAS
journal,https://dblp.uni-trier.de/db/journals/tosem/index.html,TOSEM
journal,https://dblp.uni-trier.de/db/journals/tse/index.html,TSE
journal,https://dblp.uni-trier.de/db/journals/tsc/index.html,TSC
journal,https://dblp.uni-trier.de/db/journals/ase/index.html,ASE
journal,https://dblp.uni-trier.de/db/journals/ese/index.html,ESE
journal,https://dblp.uni-trier.de/db/journals/iet-sen/index.html,IETS
journal,https://dblp.uni-trier.de/db/journals/infsof/index.html,IST
journal,https://dblp.uni-trier.de/db/journals/jfp/index.html,JFP
journal,https://dblp.uni-trier.de/db/journals/smr/index.html,SMR
journal,https://dblp.uni-trier.de/db/journals/jss/index.html,JSS
journal,https://dblp.uni-trier.de/db/journals/re/index.html,RE
journal,https://dblp.uni-trier.de/db/journals/scp/index.html,SCP
journal,https://dblp.uni-trier.de/db/journals/sosym/index.html,SoSyM
journal,https://dblp.uni-trier.de/db/journals/stvr/index.html,STVR
journal,https://dblp.uni-trier.de/db/journals/spe/index.html,SPE
conference,https://dblp.uni-trier.de/db/conf/pldi/index.html,PLDI
conference,https://dblp.uni-trier.de/db/conf/popl/index.html,POPL
conference,https://dblp.uni-trier.de/db/conf/sigsoft/index.html,FSE&ESEC
conference,https://dblp.uni-trier.de/db/conf/sosp/index.html,SOSP
conference,https://dblp.uni-trier.de/db/conf/oopsla/index.html,OOPSLA
conference,https://dblp.uni-trier.de/db/conf/kbse/index.html,ASE
conference,https://dblp.uni-trier.de/db/conf/icse/index.html,ICSE
conference,https://dblp.uni-trier.de/db/conf/issta/index.html,ISSTA
conference,https://dblp.uni-trier.de/db/conf/osdi/index.html,OSDI
conference,https://dblp.uni-trier.de/db/conf/fm/index.html,FM
conference,https://dblp.uni-trier.de/db/conf/ecoop/index.html,ECOOP
conference,https://dblp.uni-trier.de/db/conf/etaps/index.html,ETAPS
conference,https://dblp.uni-trier.de/db/conf/iwpc/index.html,ICPC
conference,https://dblp.uni-trier.de/db/conf/re/index.html,RE
conference,https://dblp.uni-trier.de/db/conf/caise/index.html,CAiSE
conference,https://dblp.uni-trier.de/db/conf/icfp/index.html,ICFP
